id,value,rating
wine,67889,88.7489
flavors,67704,88.1545
fruit,57964,88.7062
aromas,40552,88.2018
finish,40208,88.266
acidity,38889,88.5175
palate,37815,88.6516
drink,33563,89.0271
tannins,32045,89.1515
cherry,31609,88.8059
ripe,27477,89.1858
dry,25275,88.4827
black,24493,89.5285
notes,23979,88.5767
spice,22664,89.201
rich,22335,89.8188
fresh,21634,88.5773
red,19539,88.3905
shows,18197,89.0934
berry,17839,88.4085
oak,16865,88.6769
nose,16787,88.5645
offers,15912,88.6373
light,15777,87.7336
texture,15761,89.1786
full,15503,89.2672
sweet,15386,87.8304
plum,15186,88.7276
balanced,15002,89.4973
blend,14836,88.6957
soft,14761,87.7324
bodied,14718,88.7316
blackberry,14427,89.1685
apple,14057,88.1883
age,13983,90.0262
crisp,13416,88.0186
structure,12962,90.0058
fruity,11840,87.7757
white,11814,88.5419
dark,11694,89.7857
citrus,11252,88.0856
bright,11249,88.5327
hint,11222,88.5812
mineral,11185,89.6775
give,11013,88.9385
herb,10874,89.0758
raspberry,10791,88.7359
vanilla,10644,88.5284
touch,10349,88.4027
firm,10148,89.8424
juicy,10049,89.1359
pepper,9945,89.1644
concentrated,9365,90.3436
cabernet,9332,89.1686
lemon,9240,88.6453
peach,9231,88.2795
good,9151,88.0159
green,9117,87.5243
feels,9070,87.3911
currant,8536,88.7997
toast,8515,88.9277
pear,8484,88.5362
chocolate,8397,89.4596
complex,8354,90.5489
opens,8195,88.8357
character,8158,88.3919
vineyard,8089,90.4777
fine,7963,89.9365
smooth,7881,89.1503
come,7807,89.0635
sauvignon,7646,88.7727
years,7616,90.6659
elegant,7573,90.3005
spicy,7298,88.8433
make,6994,88.6903
tastes,6938,87.2042
made,6896,88.7242
bottling,6877,89.8387
style,6826,88.5718
intense,6811,89.9908
medium,6736,87.8878
tart,6723,88.1253
lead,6697,88.5137
pinot,6676,88.6619
mouth,6666,88.221
tight,6622,89.3394
wood,6572,89.1947
long,6335,90.4889
tannic,6213,88.5047
delicious,6065,90.3056
slightly,6014,87.4457
creamy,6001,88.6129
merlot,5963,88.6817
licorice,5959,89.8585
lime,5928,88.4122
baked,5881,89.1841
orange,5872,88.5523
dense,5797,90.3432
clean,5779,87.7352
powerful,5779,90.9731
bit,5702,87.3558
layers,5683,90.2366
herbal,5618,87.4381
grapes,5613,88.6309
earthy,5449,88.5212
syrah,5424,88.8363
alongside,5384,88.9045
flower,5316,88.8555
leather,5229,89.5053
savory,5215,89.4397
color,5211,88.2915
honey,5201,88.9417
ready,5181,88.0253
tobacco,5069,89.5761
easy,4893,86.9319
chardonnay,4886,88.2284
great,4879,90.3841
strawberry,4804,88.4541
delivers,4785,89.4973
vintage,4761,89.8583
rose,4720,88.8429
mouthfeel,4715,88.2282
nice,4665,88.2754
accents,4582,88.8944
smoky,4520,89.165
lively,4514,88.5393
refreshing,4502,88.3545
new,4491,89.9381
time,4422,89.9672
cassis,4388,89.93
scents,4360,88.9153
young,4325,89.4536
apricot,4323,88.6636
edge,4300,88.4924
attractive,4292,87.5349
barrel,4284,89.5828
pineapple,4258,87.9547
high,4224,88.5066
cola,4174,89.1567
melon,4162,87.5282
bitter,4152,86.7792
grapefruit,4150,88.5307
tones,4141,88.7429
yellow,4139,89.0829
coffee,4094,89.1957
smoke,4062,89.4452
clove,4060,89.6296
lingering,4058,89.7512
stone,4014,88.8775
produced,4012,89.7413
big,4004,89.2955
wild,3990,89.5733
solid,3961,88.9004
floral,3931,88.7802
suggest,3904,88.5273
weight,3834,88.8941
tropical,3815,88.0565
simple,3790,85.215
candied,3755,87.2641
brings,3747,89.0421
followed,3745,88.3342
earth,3726,89.405
perfumed,3698,89.2454
core,3682,89.6477
strong,3634,88.8268
best,3625,90.0326
cinnamon,3623,89.7314
generous,3608,89.8909
dominate,3605,88.1152
that's,3603,88.6569
aromatic,3594,89.4238
enjoy,3580,88.7619
mix,3572,89.0383
alcohol,3563,87.9941
close,3524,88.6751
mature,3491,89.4192
add,3490,89.1179
end,3475,88.2895
noir,3405,88.8706
blueberry,3380,89.417
skin,3364,88.563
cranberry,3363,89.1696
toasty,3361,89.3672
rounded,3356,88.8561
tangy,3353,88.3809
delicate,3299,88.859
impressive,3284,90.8316
almond,3281,88.3446
crushed,3274,90.018
zest,3244,89.0268
beautiful,3242,91.7701
pair,3215,87.6705
glass,3209,89.7602
pretty,3201,88.0159
develop,3178,90.5049
petit,3129,89.1545
backed,3101,88.7994
roasted,3059,88.5635
silky,3041,89.4482
franc,3035,89.2407
whiff,3033,88.938
cedar,3014,89.6257
caramel,2996,88.5798
blanc,2983,87.9436
lots,2983,88.4537
meat,2934,89.1546
zesty,2934,88.6879
mocha,2890,89.4934
warm,2889,88.4799
needs,2866,89.5816
cut,2835,88.637
expression,2833,89.4643
aftertaste,2823,87.8413
lean,2803,86.6969
lush,2800,90.2542
oaky,2784,87.7353
violet,2781,90.1044
jammy,2762,87.5438
variety,2721,88.6186
estate,2704,90.1115
way,2698,88.6407
bold,2691,89.6487
integrated,2676,90.0378
price,2647,87.7317
vibrant,2640,89.6311
anise,2635,89.8239
carry,2626,88.3741
peel,2586,89.3357
deep,2576,90.3653
dusty,2565,88.7282
depth,2560,90.1121
mint,2556,89.1541
thick,2556,88.743
hard,2536,87.7493
subtle,2532,89.3211
riesling,2527,88.8951
framed,2515,89.7429
malbec,2515,88.9481
keep,2497,89.32
lovely,2493,90.4133
pure,2485,90.2468
peppery,2479,88.5436
lift,2473,89.4396
polished,2468,90.1334
combine,2457,89.7943
packed,2418,90.0228
buttered,2412,88.4918
espresso,2409,89.1893
right,2404,89.2772
exotic,2394,89.6608
support,2385,89.5767
jam,2384,88.1368
heavy,2380,86.9445
tangerine,2374,88.9322
sour,2347,86.7875
quality,2323,88.6639
appealing,2320,88.4456
vines,2310,90.0982
smells,2300,86.4801
cellar,2293,91.0013
elements,2287,89.3075
brisk,2272,88.0763
food,2264,87.9792
winery,2243,89.8724
take,2227,89.1811
velvety,2226,90.854
varietal,2225,88.7235
bouquet,2220,88.3482
french,2210,89.4158
marked,2193,88.5032
side,2184,88.0536
old,2162,89.7747
grenache,2160,88.9035
grilled,2159,88.917
focused,2147,90.1674
sharp,2126,86.8243
blossom,2122,89.1281
pleasant,2122,87.3497
valley,2100,89.7208
starts,2089,88.4523
cool,2081,89.1247
sip,2080,89.5504
interesting,2073,88.6218
classic,2042,90.1025
chewy,2038,89.081
mild,2035,86.7566
sangiovese,2034,88.4057
supple,2023,89.7331
fermented,2016,89.2015
sugar,2016,87.7222
filling,1963,88.9504
astringent,1952,87.5033
fragrant,1937,89.0294
prune,1930,88.0509
tea,1928,89.5052
leaves,1922,88.0505
verdot,1913,89.6093
based,1904,88.7305
perfect,1857,89.7596
two,1854,89.1559
driven,1851,88.8358
streak,1849,89.1999
lend,1844,89.0426
sense,1844,89.9635
hold,1830,89.9928
olive,1824,89.3245
months,1822,88.8063
nectarine,1810,88.3453
grained,1803,89.959
turns,1803,87.6061
blue,1798,89.6524
raisin,1794,87.5943
cab,1784,88.4533
sage,1748,89.3993
charred,1742,88.5191
approachable,1719,88.8763
nuances,1683,89.9274
pink,1682,87.9215
cocoa,1678,89.1681
set,1672,88.9269
extracted,1654,88.368
forest,1645,89.8492
winemaker,1636,90.6251
overall,1619,87.7536
juice,1611,88.1143
length,1608,89.9447
potential,1608,90.6492
pie,1604,88.5926
better,1598,89.1464
soon,1588,87.7777
wet,1584,88.8756
top,1582,90.0247
soften,1553,88.6688
remains,1549,89.1763
straightforward,1544,86.8918
opulent,1540,91.2419
loaded,1536,89.7642
plump,1534,88.219
gentle,1507,88.1567
moderate,1501,88.2668
lacks,1495,85.7146
despite,1488,88.9388
find,1467,88.9132
provides,1462,89.2876
bordeaux,1458,88.9342
leaf,1457,89.1318
racy,1454,88.555
rustic,1447,86.331
midpalate,1441,88.9396
tomato,1435,87.3657
persistent,1434,89.3291
play,1419,89.6755
natural,1418,88.7733
grip,1415,89.3303
fairly,1413,87.2893
reveals,1403,89.5004
soil,1400,89.9907
mango,1395,88.2609
raw,1388,86.9993
plush,1386,89.8758
fleshy,1381,88.7319
grown,1380,89.6014
ample,1369,89.2922
chunky,1368,86.91
sourced,1368,90.1305
wrapped,1366,89.6332
cream,1364,88.5305
youthful,1364,90.1093
features,1356,88.5336
here's,1346,87.925
boasts,1337,89.5288
highlights,1336,89.988
short,1335,85.9715
appellation,1332,89.8775
brambly,1330,88.4732
purple,1327,89.8093
least,1325,91.4966
pomegranate,1317,89.9339
honeysuckle,1307,88.6733
excellent,1306,90.5115
graphite,1300,90.2708
friendly,1298,87.9946
viognier,1295,88.2665
lemony,1290,88.4202
citrusy,1286,87.4199
region,1278,88.9544
underbrush,1277,89.3814
meaty,1266,89.0862
burst,1261,89.3542
hot,1259,86.7315
immediately,1259,88.9095
menthol,1258,89.5207
wonderful,1257,91.2686
nut,1253,88.6907
intriguing,1248,89.9695
bean,1239,88.2451
fig,1239,89.1843
named,1239,89.4111
present,1234,89.3746
broad,1230,88.5301
robust,1230,88.9683
small,1230,89.4984
single,1228,90.3282
boysenberry,1227,89.8243
term,1227,89.4715
steely,1221,89.5921
mushroom,1216,89.2527
part,1216,89.3124
heat,1206,87.6202
petal,1206,90.1579
low,1200,87.275
luscious,1193,90.3824
quickly,1187,87.0981
refined,1187,91.2152
extra,1183,89.268
beef,1177,89.2821
ground,1173,89.7434
rind,1172,88.8511
family,1171,89.7343
balsamic,1158,90.5078
level,1158,89.078
serious,1157,90.7238
adding,1156,89.2871
bone,1154,89.1059
result,1146,88.7096
taut,1144,90.3465
value,1143,88.1385
zinfandel,1142,87.9894
brown,1139,88.7857
coconut,1135,89.0652
mourv̬dre,1126,89.3339
nutmeg,1125,89.8951
leathery,1124,87.9831
salty,1123,88.1159
pleasing,1122,89.0187
surprisingly,1120,88.7335
typical,1119,88.388
inviting,1114,89.8318
promise,1113,90.4649
succulent,1110,90.3261
density,1109,90.0658
lasting,1109,89.6688
sirah,1103,88.3882
restrained,1097,89.5387
fully,1093,89.5499
distinctive,1092,89.044
continue,1091,90.4153
star,1085,90.1911
thyme,1085,90.2147
entirely,1080,89.1407
mountain,1078,90.4615
near,1078,89.4294
chalky,1076,88.6769
minty,1074,87.2905
additional,1069,89.4109
bracing,1068,88.9888
displays,1067,89.3856
reserve,1067,89.6188
background,1058,88.8053
mellow,1058,89.2253
amount,1054,88.904
tar,1053,89.3865
floor,1052,89.8527
run,1051,88.5601
yeasty,1051,88.3308
woody,1050,87.8951
pressed,1046,89.1635
doles,1037,90.0096
golden,1034,89.0841
unusual,1033,88.0506
equal,1031,89.5427
extremely,1030,89.2866
given,1029,89.0476
thin,1026,84.7865
selection,1025,90.0763
defined,1021,89.3055
austere,1016,88.936
drinkable,1015,88.7858
decade,1014,91.7597
bubbles,1010,87.6304
modest,1008,86.5149
chopped,1005,89.5538
final,1005,88.8177
basic,1004,85.76
tasty,1003,88.2682
mouthwatering,1001,89.2837
emerge,999,89.5466
going,998,87.9078
bacon,997,89.1815
you'll,995,89.0151
create,983,89.1714
california,982,89.5082
rubbery,978,86.2975
hits,973,88.9
late,973,88.6968
site,972,91.1687
dishes,968,87.5795
five,967,90.2203
de,964,89.8133
allow,963,89.7409