id,value,avg_price
wine,86,850.965116
fruit,70,868.857143
drink,54,779.333333
tannins,48,890.250000
acidity,44,970.022727
age,43,808.744186
rich,41,893.073171
structure,31,863.354839
flavors,31,926.032258
concentrated,31,680.451613
vintage,30,794.233333
ripe,29,1019.655172
years,25,795.200000
powerful,24,893.000000
palate,23,718.217391
black,23,912.478261
balanced,23,902.739130
spice,21,643.761905
shows,21,939.095238
intense,21,737.857143
great,21,994.142857
give,21,857.190476
texture,20,757.800000
fresh,20,920.900000
sweet,19,762.157895
mineral,19,706.105263
dark,19,816.684211
dense,18,942.777778
come,18,769.611111
long,17,679.941176
finish,17,636.411765
complex,17,758.882353
berry,17,652.058824
red,16,609.687500
firm,16,767.625000
elegant,16,701.687500
wood,14,770.857143
dry,14,885.714286
cherry,14,665.714286
bright,14,708.000000
vineyard,13,919.307692
opulent,13,1077.076923
opens,13,699.538462
impressive,13,752.000000
full,13,935.230769
character,13,732.692308
aromas,13,625.538462
tight,12,853.666667
perfumed,12,1064.166667
hint,12,734.416667
fruity,12,846.666667
decade,12,602.666667
toast,11,770.272727
fine,11,1025.636364
delicious,11,657.000000
crisp,11,652.545455
blackberry,11,1091.090909
beautiful,11,852.000000
potential,10,1122.000000
plum,10,721.200000
layers,10,770.400000
time,9,811.444444
offers,9,561.111111
notes,9,704.666667
nose,9,799.111111
juicy,9,1167.555556
honey,9,674.555556
develop,9,689.111111
delivers,9,582.222222
citrus,9,723.777778
chocolate,9,698.333333
young,8,682.750000
white,8,669.000000
weight,8,808.375000
solid,8,912.500000
ready,8,1264.750000
wild,7,730.000000
strong,7,1003.142857
oak,7,585.714286
grand,7,722.714286
exotic,7,891.857143
currant,7,1037.142857
cabernet,7,992.857143
best,7,681.714286
baked,7,579.285714
tannic,6,877.666667
soft,6,752.500000
slowly,6,641.333333
packed,6,966.166667
orange,6,670.166667
new,6,579.500000
mature,6,704.166667
light,6,1092.166667
depth,6,936.000000
crushed,6,544.166667
course,6,838.333333
core,6,848.666667
certainly,6,694.166667
bottling,6,755.000000
bodied,6,737.500000
big,6,542.500000
apricot,6,842.333333
apple,6,850.666667
yellow,5,690.000000
wonderful,5,947.600000
whiff,5,539.000000
vines,5,701.000000
vanilla,5,673.800000
tobacco,5,630.000000
tba,5,644.400000
tangerine,5,717.800000
suggest,5,778.000000
style,5,555.400000
scents,5,580.800000
rose,5,616.000000
reveals,5,724.800000
release,5,572.400000
promise,5,1262.000000
produced,5,712.400000
port,5,799.000000
pineapple,5,675.200000
pepper,5,606.000000
lively,5,938.000000
likely,5,691.400000
leather,5,566.000000
least,5,621.800000
huge,5,822.400000
hold,5,685.000000
herb,5,562.000000
gorgeous,5,825.800000
edge,5,643.600000
creamy,5,552.000000
combine,5,1054.400000
cinnamon,5,596.000000
chardonnay,5,694.600000
cassis,5,595.000000
blend,5,821.600000
alongside,5,580.000000
unctuous,4,626.750000
top,4,763.000000
toasty,4,566.750000
taut,4,674.750000
surrounded,4,845.500000
supple,4,650.000000
stunning,4,861.250000
stone,4,784.750000
smooth,4,1073.750000
smoky,4,705.750000
shot,4,689.500000
right,4,603.750000
quality,4,578.000000
prune,4,550.000000
pear,4,1123.250000
old,4,662.000000
marmalade,4,665.500000
keep,4,734.250000
jammy,4,900.000000
grange,4,667.500000
generous,4,781.500000
future,4,716.250000
five,4,757.750000
feels,4,704.500000
family,4,721.500000
extremely,4,561.250000
enticing,4,887.500000
earth,4,788.750000
dusty,4,1206.250000
don't,4,565.000000
deeply,4,800.000000
de,4,712.250000
coffee,4,792.500000
champagne,4,653.000000
cellar,4,712.500000
caramel,4,767.500000
burgundy,4,713.250000
bracing,4,646.250000
barrel,4,652.500000
zest,3,731.666667
worth,3,516.666667
way,3,1083.333333
wait,3,685.333333
velvet,3,1296.000000
two,3,561.666667
touch,3,646.666667
tones,3,640.666667
tiny,3,705.666667
thanks,3,600.000000
tea,3,530.000000
take,3,650.000000
surprisingly,3,684.666667
surface,3,1195.000000
superb,3,1220.000000
subtle,3,661.333333
spicy,3,1358.333333
small,3,1268.333333
single,3,1123.666667
serious,3,656.333333
sauvignon,3,1275.000000
reputation,3,510.000000
raspberry,3,651.666667
pure,3,781.666667
proving,3,500.000000
polished,3,561.666667
piercing,3,740.666667
peach,3,740.666667
mouth,3,666.333333
moment,3,560.666667
mocha,3,606.666667
mix,3,624.000000
meaty,3,593.333333
make,3,900.000000
main,3,657.666667
magnificent,3,940.000000
loaded,3,565.000000
lingering,3,766.666667
lift,3,621.666667
licorice,3,573.333333
lemon,3,1207.666667
legendary,3,875.000000
known,3,550.000000
initially,3,658.333333
immense,3,1238.333333
heart,3,695.000000
hallmark,3,637.333333
grapes,3,677.000000
franc,3,875.000000
followed,3,696.666667
focused,3,625.000000
finest,3,1009.000000
finesse,3,561.666667
final,3,635.000000
expression,3,551.666667
essence,3,506.666667
endless,3,769.000000
end,3,693.333333
deep,3,708.333333
cru,3,603.333333
complete,3,1106.666667
compact,3,500.000000
cedar,3,516.666667
brooding,3,911.666667
bold,3,575.000000
asphalt,3,500.000000
amazing,3,739.333333
allow,3,1220.000000
acre,3,740.666667
;,3,748.333333
5,3,811.666667
youthful,2,887.500000
yielding,2,547.500000
worthy,2,572.500000
world,2,525.000000
waves,2,807.000000
warm,2,950.000000
wall,2,825.000000
violet,2,550.000000
variety,2,1135.000000
unwind,2,562.500000
unico,2,500.000000
ungrafted,2,622.500000
underwhelming,2,500.000000
undeniably,2,687.500000
typical,2,942.500000
tropical,2,1606.500000
tremendous,2,556.000000
trademark,2,520.000000
totally,2,862.500000
term,2,731.000000
tastes,2,740.000000
tart,2,762.500000
swathes,2,1700.000000
sure,2,1500.000000
sunny,2,775.000000
succulent,2,1297.500000
strawberry,2,550.000000
stewy,2,500.000000
starts,2,875.000000
star,2,587.500000
standard,2,737.500000
stage,2,1250.000000
spry,2,775.000000
smoke,2,601.000000
sip,2,757.000000
sense,2,1080.000000
selection,2,562.500000
santi,2,850.000000
saffron,2,775.000000
rutherford,2,625.000000
rounded,2,675.000000
rosemary,2,650.000000
roman̩e,2,1575.000000
riesling,2,693.500000
restrained,2,535.000000
reserve,2,587.500000
remarkably,2,782.000000
reined,2,753.000000
refined,2,525.000000
rare,2,642.000000
raisin,2,606.000000
profile,2,619.500000
production,2,778.500000
probably,2,562.500000
price,2,562.500000
present,2,851.000000
powerhouse,2,1112.500000
poor,2,500.000000
poised,2,594.000000
pleasant,2,645.000000
planted,2,787.500000
place,2,1300.000000
pipe,2,572.500000
pinot,2,1650.000000
petal,2,697.500000
peppery,2,660.000000
penetrating,2,775.000000
peak,2,625.000000
part,2,615.000000
parcel,2,622.500000
palpable,2,1300.000000
olivier,2,639.500000
nuances,2,562.500000
noval,2,622.500000
noir,2,1650.000000
needs,2,726.000000
nectar,2,723.500000
named,2,500.000000
monte,2,515.000000
monster,2,550.000000
mingle,2,874.000000
midpalate,2,700.000000
mesnil,2,660.000000
merlot,2,587.500000
massive,2,1200.000000
marked,2,740.000000
mango,2,674.500000
made,2,562.500000
luscious,2,637.500000
lodoletta,2,515.000000
length,2,594.500000
leflaive,2,639.500000
leaves,2,837.500000
lead,2,500.000000
le,2,660.000000
laser,2,642.500000
laden,2,605.000000
juice,2,1016.000000
italy,2,587.500000
isn't,2,825.000000
inky,2,690.000000
incredibly,2,500.000000
immediately,2,562.500000
hot,2,700.000000
highest,2,650.000000
high,2,577.500000
heights,2,625.500000
having,2,650.000000
haut,2,1016.000000
grilled,2,700.000000
grapefruit,2,505.000000
good,2,1290.000000
goes,2,648.500000
given,2,661.000000
fragrant,2,1025.000000
forest,2,650.000000
flower,2,625.000000
floral,2,874.000000
floor,2,650.000000
filling,2,962.500000
fermented,2,755.000000
expect,2,800.000000
excellent,2,612.500000
estate,2,547.500000
enveloping,2,937.000000
enormously,2,772.000000
enjoy,2,700.000000
embryonic,2,850.000000
elements,2,2006.500000
easily,2,956.000000
earthy,2,723.500000
drunk,2,646.500000
driven,2,657.000000
drinkable,2,635.000000
dominate,2,635.000000
displays,2,562.500000
desiccated,2,500.000000
density,2,590.000000
cut,2,690.000000
currently,2,753.000000
crus,2,609.500000
conveys,2,575.000000
continue,2,647.500000
considerable,2,685.000000
color,2,1044.000000
chunky,2,500.000000
chalky,2,621.000000
call,2,800.000000
built,2,750.000000
brion,2,1016.000000
brings,2,1599.000000
boysenberry,2,625.000000
boasts,2,650.000000
blanc,2,1058.500000
bitter,2,655.000000
bit,2,625.000000
biondi,2,850.000000
beneath,2,610.000000
backed,2,832.500000
backbone,2,763.500000
away,2,725.000000
austere,2,1162.500000
atlas,2,625.000000
astringent,2,505.000000
aromatic,2,707.500000
appetizing,2,500.000000
appellation,2,1319.000000
alluring,2,655.000000
aftertaste,2,664.000000
add,2,558.500000
accents,2,682.000000
:,2,815.000000
25,2,675.000000
1996,2,550.000000
zippy,1,510.000000
zesty,1,510.000000
z,1,675.000000
you've,1,850.000000
you'll,1,625.000000
yin,1,820.000000
yeasty,1,600.000000
yeast,1,1100.000000
yao,1,625.000000
yang,1,820.000000
woven,1,500.000000
wound,1,1100.000000
winery,1,625.000000
wholly,1,2500.000000
whisper,1,775.000000
what's,1,625.000000
wet,1,1100.000000
welter,1,2000.000000
wells,1,2500.000000
weighs,1,600.000000
wealth,1,617.000000
waxy,1,775.000000
wax,1,500.000000
warmth,1,1100.000000
vosne,1,650.000000
vigneto,1,500.000000
vibrant,1,595.000000
version,1,600.000000
verdot,1,625.000000
velvety,1,1500.000000
vega,1,600.000000
vast,1,500.000000
valpolicella,1,500.000000
valley,1,625.000000
usual,1,1900.000000
upfront,1,625.000000
unravel,1,764.000000
undulating,1,764.000000
ultrafine,1,550.000000
try,1,500.000000
treat,1,764.000000
treasure,1,520.000000
took,1,550.000000
tons,1,600.000000
toffee,1,770.000000
tingling,1,775.000000
thyme,1,750.000000
thrust,1,530.000000
throwback,1,500.000000
thoroughly,1,625.000000
there's,1,500.000000
that's,1,500.000000
terroir,1,560.000000
terrace,1,595.000000
tense,1,886.000000
tenacious,1,500.000000
ten,1,672.000000
tempting,1,540.000000
tempered,1,1100.000000
tawny,1,770.000000
tangy,1,625.000000
tail,1,770.000000
tack,1,500.000000
syrupy,1,530.000000
syrup,1,612.000000
swirl,1,612.000000
sweetened,1,500.000000
sur,1,520.000000
superripe,1,600.000000
super,1,650.000000
sun,1,764.000000
sumptuous,1,510.000000
sugary,1,500.000000
sugar,1,612.000000
subtly,1,500.000000
subtlety,1,595.000000
stylish,1,530.000000
struck,1,775.000000